,Id_hecho,N_VICTIMAS,FECHA_x,HORA,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA_x,ACUSADO,AÑO,FECHA_y,AAAA,MM,DD,ROL,VICTIMA_y,SEXO,EDAD,FECHA_FALLECIMIENTO
353,2018-0065,1,2018-06-26,17.0,"Pellegrini, Carlos y Juncal",CALLE,1,-58.38161909,-34.59283447,MOTO-CARGAS,MOTO,CARGAS,2018,2018-06-26,2018,6,26,CONDUCTOR,MOTO,MASCULINO,35,2018-06-26 00:00:00
354,2018-0066,1,2018-06-28,11.0,Av. Corrientes y Av. Federico Lacroze,AVENIDA,15,-58.45511899,-34.58698157,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-06-28,2018,6,28,PEATON,PEATON,MASCULINO,73,2018-06-28 00:00:00
355,2018-0067,1,2018-06-29,16.0,"Montes De Oca, Manuel y Finochietto Enrique Dr.",AVENIDA,4,-58.37724226,-34.62973033,PASAJEROS-AUTO,PASAJEROS,AUTO,2018,2018-06-29,2018,6,29,PASAJERO_ACOMPAÑANTE,PASAJEROS,FEMENINO,81,2018-07-06 00:00:00
356,2018-0068,1,2018-07-01,9.0,"Carabobo Av. y Alberdi, Juan Bautista Av.",AVENIDA,7,-58.45546217,-34.62930339,MOTO-AUTO,MOTO,AUTO,2018,2018-07-01,2018,7,1,CONDUCTOR,MOTO,MASCULINO,21,2018-07-01 00:00:00
357,2018-0069,1,2018-07-04,21.0,"Córdoba Av. 2215

",AVENIDA,2,-58.39897064,-34.59954925,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,2018,2018-07-04,2018,7,4,CICLISTA,BICICLETA,MASCULINO,20,2018-07-04 00:00:00
358,2018-0070,1,2018-07-07,15.0,"Estados Unidos y Urquiza, Gral.",CALLE,3,-58.40917826,-34.62126274,MOTO-PASAJEROS,MOTO,PASAJEROS,2018,2018-07-07,2018,7,7,CONDUCTOR,MOTO,MASCULINO,33,2018-07-07 00:00:00
359,2018-0071,1,2018-07-10,17.0,Moreno y Av. Huergo,AVENIDA,1,-58.36726348,-34.61099738,MOTO-CARGAS,MOTO,CARGAS,2018,2018-07-10,2018,7,10,CONDUCTOR,MOTO,MASCULINO,SD,2018-07-10 00:00:00
360,2018-0072,1,2018-07-11,13.0,"AU Dellepiane kilometro 0.0, altura calle Montiel, sentido hacia el Centro Porteño",AUTOPISTA,8,-58.48267426,-34.68454456,MOTO-CARGAS,MOTO,CARGAS,2018,2018-07-11,2018,7,11,CONDUCTOR,MOTO,MASCULINO,27,2018-07-13 00:00:00
361,2018-0073,1,2018-07-11,15.0,"Iriarte, Gral. Av. 3400",AVENIDA,4,-58.39546165,-34.65168841,PEATON-CARGAS,PEATON,CARGAS,2018,2018-07-11,2018,7,11,PEATON,PEATON,FEMENINO,67,2018-07-11 00:00:00
362,2018-0074,1,2018-07-14,6.0,AV. JUAN B. ALBERDI 2968,AVENIDA,7,-58.46941984,-34.63376545,AUTO-CARGAS,AUTO,CARGAS,2018,2018-07-14,2018,7,14,CONDUCTOR,AUTO,MASCULINO,25,2018-07-14 00:00:00
363,2018-0075,1,2018-07-15,7.0,Del Libertador Av. y Ortiz De Ocampo,AVENIDA,14,-58.40367321,-34.58129246,PEATON-AUTO,PEATON,AUTO,2018,2018-07-15,2018,7,15,PEATON,PEATON,MASCULINO,23,2018-07-15 00:00:00
364,2018-0076,1,2018-07-16,9.0,"Chavez, Jorge y Paz, Gral. Av.",CALLE,9,-58.52932872,-34.65014993,AUTO-CARGAS,AUTO,CARGAS,2018,2018-07-16,2018,7,16,CONDUCTOR,AUTO,MASCULINO,73,2018-07-16 00:00:00
365,2018-0077,1,2018-07-16,23.0,"Urquiza, Gral. y Estados Unidos",CALLE,3,-58.40917826,-34.62126274,AUTO-CARGAS,AUTO,CARGAS,2018,2018-07-16,2018,7,16,CONDUCTOR,AUTO,MASCULINO,58,2018-07-17 00:00:00
366,2018-0078,1,2018-07-21,6.0,Paraguay y Sánchez De Bustamante,CALLE,2,-58.41264127,-34.59473294,PEATON-AUTO,PEATON,AUTO,2018,2018-07-21,2018,7,21,PEATON,PEATON,MASCULINO,27,2018-07-21 00:00:00
367,2018-0079,1,2018-07-23,7.0,"De Los Corrales Av. y Paz, Gral. Av.",AVENIDA,9,-58.50877521,-34.66977709,PEATON-CARGAS,PEATON,CARGAS,2018,2018-07-23,2018,7,23,PEATON,PEATON,MASCULINO,SD,2018-07-23 00:00:00
368,2018-0080,1,2018-07-25,22.0,"Alberdi, Juan Bautista Av. y Carhue",AVENIDA,9,-58.51232237,-34.65903530,PEATON-AUTO,PEATON,AUTO,2018,2018-07-25,2018,7,25,PEATON,PEATON,MASCULINO,26,2018-07-25 00:00:00
369,2018-0081,1,2018-07-29,6.0,Castañares Av. y Rivera Indarte Av.,AVENIDA,7,-58.44744156,-34.64567171,MULTIPLE,PEATON,MULTIPLE,2018,2018-07-29,2018,7,29,PEATON,PEATON,MASCULINO,35,2018-07-29 00:00:00
370,2018-0082,1,2018-08-01,15.0,"Larrazabal y Garzon, Eugenio, Gral. Av.",AVENIDA,9,-58.49441273,-34.65869968,MOTO-CARGAS,MOTO,CARGAS,2018,2018-08-01,2018,8,1,CONDUCTOR,MOTO,FEMENINO,17,2018-08-01 00:00:00
371,2018-0083,1,2018-08-02,5.0,"Paz, Gral. Av. y Fernandez De La Cruz, F., Gral. Av.",AVENIDA,8,-58.47976785,-34.69153196,MOTO-CARGAS,MOTO,CARGAS,2018,2018-08-02,2018,8,2,CONDUCTOR,MOTO,MASCULINO,SD,2018-08-02 00:00:00
372,2018-0084,1,2018-08-03,7.0,Av. Alicia Moreau de Justo y Cochabamba,AVENIDA,1,-58.36523349,-34.62260331,PEATON-CARGAS,PEATON,CARGAS,2018,2018-08-03,2018,8,3,PEATON,PEATON,MASCULINO,45,2018-08-03 00:00:00
373,2018-0085,2,2018-08-03,18.0,"Entre Rios Av. y Garay, Juan De Av.",AVENIDA,3,-58.39118948,-34.62704273,MOTO-PASAJEROS,MOTO,PASAJEROS,2018,2018-08-03,2018,8,3,PASAJERO_ACOMPAÑANTE,MOTO,FEMENINO,22,2018-08-03 00:00:00
374,2018-0085,2,2018-08-03,18.0,"Entre Rios Av. y Garay, Juan De Av.",AVENIDA,3,-58.39118948,-34.62704273,MOTO-PASAJEROS,MOTO,PASAJEROS,2018,2018-08-03,2018,8,3,CONDUCTOR,MOTO,MASCULINO,30,2018-08-03 00:00:00
375,2018-0086,1,2018-08-10,21.0,Directorio Av. y Guardia Nacional,AVENIDA,9,-58.49019551,-34.65015854,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-08-10,2018,8,10,PEATON,PEATON,MASCULINO,40,2018-08-10 00:00:00
376,2018-0087,1,2018-08-15,19.0,Pavon Av. Y Colombres,AVENIDA,5,-58.41644362,-34.63023775,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-08-15,2018,8,15,PEATON,PEATON,MASCULINO,75,2018-08-20 00:00:00
377,2018-0088,1,2018-08-17,16.0,Av. Gral. Paz y Av. Dr. Ricardo Balbín,AVENIDA,12,-58.50073810,-34.54979510,MOTO-CARGAS,MOTO,CARGAS,2018,2018-08-17,2018,8,17,CONDUCTOR,MOTO,MASCULINO,SD,2018-08-17 00:00:00
378,2018-0089,1,2018-08-17,17.0,Pichincha Av. y Brasil,AVENIDA,4,-58.39626094,-34.63036565,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-08-17,2018,8,17,PEATON,PEATON,MASCULINO,80,2018-08-17 00:00:00
379,2018-0090,1,2018-08-18,10.0,27 De Febrero Av. y Pergamino,AVENIDA,8,-58.43284809,-34.67051543,MOTO-AUTO,MOTO,AUTO,2018,2018-08-18,2018,8,18,CONDUCTOR,MOTO,MASCULINO,27,2018-08-18 00:00:00
380,2018-0091,1,2018-08-19,18.0,AU Perito Moreno KM 1.8 ALTURA BARRAGAN SENTIDO PBA,AUTOPISTA,9,-58.52280139,-34.63659934,AUTO-AUTO,AUTO,AUTO,2018,2018-08-19,2018,8,19,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23,2018-08-19 00:00:00
381,2018-0092,1,2018-08-20,8.0,Cordoba Av. y Gascon,AVENIDA,14,-58.42336930,-34.59774487,MOTO-AUTO,MOTO,AUTO,2018,2018-08-20,2018,8,20,CONDUCTOR,MOTO,MASCULINO,23,2018-08-20 00:00:00
382,2018-0093,1,2018-08-20,8.0,15 De Noviembre De 1889 1513,CALLE,1,-58.38691681,-34.63105973,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-08-20,2018,8,20,PEATON,PEATON,MASCULINO,24,2018-08-20 00:00:00
383,2018-0094,1,2018-08-23,5.0,"Salguero, Jeronimo y Beruti",CALLE,14,-58.41169020,-34.58579880,MOTO-PASAJEROS,MOTO,PASAJEROS,2018,2018-08-23,2018,8,23,CONDUCTOR,MOTO,MASCULINO,32,2018-08-23 00:00:00
384,2018-0095,1,2018-08-26,0.0,"Lacarra Av. y Dellepiane, Luis, Tte. Gral.",AVENIDA,9,-58.46739825,-34.65117757,AUTO-AUTO,AUTO,AUTO,2018,2018-08-26,2018,8,26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,49,2018-08-26 00:00:00
385,2018-0096,1,2018-08-31,22.0,"AU Héctor J. Cámpora y Roca, Cnel. Av.",AUTOPISTA,8,-58.44483258,-34.67152226,PEATON-AUTO,PEATON,AUTO,2018,2018-08-31,2018,8,31,PEATON,PEATON,MASCULINO,39,2018-08-31 00:00:00
386,2018-0097,1,2018-09-02,10.0,Av. Varela y Av. Int. Francisco Rabanal,AVENIDA,8,-58.43254025,-34.66128115,AUTO-MOVIL,AUTO,OTRO,2018,2018-09-02,2018,9,2,CONDUCTOR,AUTO,FEMENINO,35,2018-09-02 00:00:00
387,2018-0098,2,2018-09-09,5.0,Av. Gral. Paz e/ Ferre y Beron de Astrada,AVENIDA,8,-58.47199387,-34.69640164,AUTO-AUTO,AUTO,AUTO,2018,2018-09-09,2018,9,9,CONDUCTOR,AUTO,MASCULINO,55,2018-09-09 00:00:00
388,2018-0098,2,2018-09-09,5.0,Av. Gral. Paz e/ Ferre y Beron de Astrada,AVENIDA,8,-58.47199387,-34.69640164,AUTO-AUTO,AUTO,AUTO,2018,2018-09-09,2018,9,9,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,54,2018-09-09 00:00:00
389,2018-0099,1,2018-09-12,14.0,Rivadavia Av. y Pedernera,AVENIDA,7,-58.46411215,-34.62925068,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-09-12,2018,9,12,PEATON,PEATON,MASCULINO,18,2018-09-13 00:00:00
390,2018-0100,1,2018-09-20,10.0,Elvira Rawson de Dellepiane 150,AVENIDA,1,-58.36217754,-34.62367156,MOTO-AUTO,MOTO,AUTO,2018,2018-09-20,2018,9,20,SD,MOTO,FEMENINO,33,2018-09-20 00:00:00
391,2018-0101,1,2018-09-21,0.0,"Paz, Gral. Av. y Zapiola",AVENIDA,12,-58.48098594,-34.54073130,MULTIPLE,AUTO,MULTIPLE,2018,2018-09-21,2018,9,21,CONDUCTOR,AUTO,MASCULINO,SD,2018-09-21 00:00:00
392,2018-0102,1,2018-09-21,0.0,FAMATINA Y DIOGENES TABORDA,CALLE,4,-58.41083404,-34.64640709,MOTO-AUTO,MOTO,AUTO,2018,2018-09-21,2018,9,21,CONDUCTOR,MOTO,MASCULINO,20,2018-09-21 00:00:00
393,2018-0103,1,2018-09-27,17.0,Av. Castañares y Bonorino,AVENIDA,7,-58.44609828,-34.64446729,PEATON-MOTO,PEATON,MOTO,2018,2018-09-27,2018,9,27,PEATON,PEATON,MASCULINO,1,2018-09-29 00:00:00
394,2018-0104,1,2018-10-01,8.0,AU Frondizi 9 de Julio Sur y Av. Suarez,AUTOPISTA,4,-58.37709334,-34.64035082,MOTO-MOTO,MOTO,MOTO,2018,2018-10-01,2018,10,1,CONDUCTOR,MOTO,MASCULINO,22,2018-10-01 00:00:00
395,2018-0105,1,2018-10-03,18.0,Nazca Av. y Rivadavia Av.,AVENIDA,7,-58.46963952,-34.63070603,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-10-03,2018,10,3,PEATON,PEATON,FEMENINO,56,2018-10-03 00:00:00
396,2018-0106,1,2018-10-04,22.0,"Figueroa Alcorta, Pres. Av. y Echeverria",AVENIDA,13,-58.43674281,-34.55161027,MOTO-MOTO,MOTO,MOTO,2018,2018-10-04,2018,10,4,CONDUCTOR,MOTO,MASCULINO,27,2018-10-04 00:00:00
397,2018-0107,1,2018-10-06,14.0,Rivadavia Av. y Jujuy Av.,AVENIDA,3,-58.40596860,-34.61011987,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-10-06,2018,10,6,PEATON,PEATON,FEMENINO,62,2018-10-06 00:00:00
398,2018-0108,1,2018-10-09,14.0,"De Los Italianos Av. y Guemes, Macacha",AVENIDA,1,-58.36154069,-34.60463618,MOTO-AUTO,MOTO,AUTO,2018,2018-10-09,2018,10,9,CONDUCTOR,MOTO,MASCULINO,37,2018-10-10 00:00:00
399,2018-0109,1,2018-10-10,22.0,"Tucuman y Alem, Leandro N. Av.",AVENIDA,1,-58.37062179,-34.60066507,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-10-10,2018,10,10,PEATON,PEATON,MASCULINO,34,2018-10-10 00:00:00
400,2018-0110,1,2018-10-13,3.0,"Corrientes Av. y Gallardo, Angel Av.",AVENIDA,15,-58.43220014,-34.60207186,PEATON-MOTO,PEATON,MOTO,2018,2018-10-13,2018,10,13,PEATON,PEATON,MASCULINO,60,2018-10-14 00:00:00
401,2018-0111,1,2018-10-19,12.0,AU Perito Moreno y Av. Eva Perón SENTIDO CENTRO,AUTOPISTA,9,-58.46958442,-34.64949724,MOTO-CARGAS,MOTO,CARGAS,2018,2018-10-19,2018,10,19,CONDUCTOR,MOTO,MASCULINO,28,2018-10-19 00:00:00
402,2018-0112,1,2018-10-24,9.0,Muñecas y Serrano,CALLE,15,-58.44671397,-34.59970903,MOTO-CARGAS,MOTO,CARGAS,2018,2018-10-24,2018,10,24,CONDUCTOR,MOTO,FEMENINO,28,2018-10-24 00:00:00
403,2018-0113,1,2018-10-25,11.0,"Artigas, Jose Gervasio, Gral. y Tres Arroyos",CALLE,11,-58.47152163,-34.61474911,MOTO-CARGAS,MOTO,CARGAS,2018,2018-10-25,2018,10,25,CONDUCTOR,MOTO,MASCULINO,20,2018-10-25 00:00:00
404,2018-0114,1,2018-10-30,2.0,Solis e Independencia Av.,AVENIDA,1,-58.39032921,-34.61807951,MOTO-AUTO,MOTO,AUTO,2018,2018-10-30,2018,10,30,CONDUCTOR,MOTO,MASCULINO,23,2018-10-30 00:00:00
405,2018-0115,1,2018-10-31,12.0,"Bosch, Ventura y Paz, Gral. Av.",CALLE,9,-58.52887773,-34.64297861,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-10-31,2018,10,31,PEATON,PEATON,MASCULINO,42,2018-11-01 00:00:00
406,2018-0116,1,2018-11-01,10.0,"Paz, Gral. Av. 14800",AVENIDA,8,-58.49371157,-34.67981324,PEATON-CARGAS,PEATON,CARGAS,2018,2018-11-01,2018,11,1,PEATON,PEATON,MASCULINO,48,2018-11-08 00:00:00
407,2018-0117,1,2018-11-04,8.0,Av. Eva Perón 5321,AVENIDA,9,-58.48266599,-34.66012327,MOTO-MOTO,MOTO,MOTO,2018,2018-11-04,2018,11,4,CONDUCTOR,MOTO,MASCULINO,30,2018-11-08 00:00:00
408,2018-0118,1,2018-11-05,14.0,"Peron, Juan Domingo, Tte. General y Pueyrredon Av.",AVENIDA,3,-58.40612253,-34.60774301,PEATON-MOTO,PEATON,MOTO,2018,2018-11-05,2018,11,5,PEATON,PEATON,FEMENINO,80,2018-11-05 00:00:00
409,2018-0119,1,2018-11-05,22.0,Rabanal y San Pedrito,AVENIDA,8,-58.43613623,-34.66292532,PEATON-SD,PEATON,SD,2018,2018-11-05,2018,11,5,PEATON,PEATON,FEMENINO,32,2018-11-06 00:00:00
410,2018-0120,1,2018-11-09,13.0,Monroe y Alvarez Thomas Av.,AVENIDA,12,-58.48250732,-34.57208238,PEATON-AUTO,PEATON,AUTO,2018,2018-11-09,2018,11,9,PEATON,PEATON,FEMENINO,51,2018-11-20 00:00:00
411,2018-0121,1,2018-11-09,16.0,Rivadavia Av. y Manzoni,AVENIDA,10,-58.49945705,-34.63743280,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-11-09,2018,11,9,PEATON,PEATON,FEMENINO,72,2018-11-09 00:00:00
412,2018-0122,1,2018-11-12,1.0,AU Dellepiane Luis Tte. Gral. y Larrazabal,AUTOPISTA,8,-58.47743966,-34.67233407,AUTO-AUTO,AUTO,AUTO,2018,2018-11-12,2018,11,12,CONDUCTOR,AUTO,MASCULINO,33,2018-11-12 00:00:00
413,2018-0123,1,2018-11-12,3.0,"Paz, Gral. Av. y Peron, Eva Av.",AVENIDA,9,-58.50251790,-34.67450313,AUTO-SD,AUTO,SD,2018,2018-11-12,2018,11,12,CONDUCTOR,AUTO,MASCULINO,25,2018-11-12 00:00:00
414,2018-0124,1,2018-11-15,19.0,AU Perito Moreno y Reservistas Argentinos,AUTOPISTA,9,-58.52144411,-34.63682499,CARGAS-CARGAS,CARGAS,CARGAS,2018,2018-11-15,2018,11,15,CONDUCTOR,CARGAS,MASCULINO,44,2018-11-15 00:00:00
415,2018-0125,1,2018-11-16,21.0,Saenz Av. y Ventana,AVENIDA,4,-58.41650465,-34.65084045,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-11-16,2018,11,16,PEATON,PEATON,MASCULINO,29,2018-11-17 00:00:00
416,2018-0126,1,2018-11-18,12.0,Avda. General Paz y Cnel. Ramón Falcón,AVENIDA,9,-58.52994219,-34.64055918,MOTO-AUTO,MOTO,AUTO,2018,2018-11-18,2018,11,18,CONDUCTOR,MOTO,MASCULINO,27,2018-11-23 00:00:00
417,2018-0127,1,2018-11-19,9.0,Av. Gral. Paz y Av. de los Constituyentes,AVENIDA,12,-58.50993046,-34.56919739,MOTO-MOTO,MOTO,MOTO,2018,2018-11-19,2018,11,19,CONDUCTOR,MOTO,MASCULINO,29,2018-11-19 00:00:00
418,2018-0128,2,2018-11-25,4.0,"Paz, Gral. Av. 11200",AVENIDA,9,-58.52844623,-34.64592873,AUTO-PASAJEROS,AUTO,PASAJEROS,2018,2018-11-25,2018,11,25,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,49,2018-11-25 00:00:00
419,2018-0128,2,2018-11-25,4.0,"Paz, Gral. Av. 11200",AVENIDA,9,-58.52844623,-34.64592873,AUTO-PASAJEROS,AUTO,PASAJEROS,2018,2018-11-25,2018,11,25,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,39,2018-11-25 00:00:00
420,2018-0129,1,2018-11-28,4.0,"Newbery, Jorge Av. y Guevara",AVENIDA,15,-58.45021367,-34.58695347,MOTO-PASAJEROS,MOTO,PASAJEROS,2018,2018-11-28,2018,11,28,CONDUCTOR,MOTO,MASCULINO,37,2018-11-30 00:00:00
421,2018-0130,1,2018-12-03,3.0,Gaona Av. y Segurola Av.,AVENIDA,10,-58.49022072,-34.62770192,MOTO-PASAJEROS,MOTO,PASAJEROS,2018,2018-12-03,2018,12,3,CONDUCTOR,MOTO,MASCULINO,SD,2018-12-03 00:00:00
422,2018-0131,1,2018-12-07,19.0,"Madero, Eduardo Av. 550",AVENIDA,1,-58.36860866,-34.60106568,MOTO-CARGAS,MOTO,CARGAS,2018,2018-12-07,2018,12,7,CONDUCTOR,MOTO,MASCULINO,29,2018-12-07 00:00:00
423,2018-0132,1,2018-12-12,8.0,"AU Arturo Illia y Castillo, Ramon S.",AUTOPISTA,2,-58.39490504,-34.57241534,PEATON-CARGAS,PEATON,CARGAS,2018,2018-12-12,2018,12,12,PEATON,PEATON,MASCULINO,70,2018-12-12 00:00:00
424,2018-0133,1,2018-12-12,14.0,Nazca Av. y Rivadavia Av.,AVENIDA,7,-58.46963952,-34.63070603,PEATON-CARGAS,PEATON,CARGAS,2018,2018-12-12,2018,12,12,PEATON,PEATON,FEMENINO,60,2018-12-12 00:00:00
425,2018-0134,1,2018-12-12,21.0,La Plata Av. y Caseros Av.,AVENIDA,7,-58.42349365,-34.64019887,PEATON-MOTO,PEATON,MOTO,2018,2018-12-12,2018,12,12,PEATON,PEATON,MASCULINO,56,2018-12-13 00:00:00
426,2018-0135,1,2018-12-18,14.0,Belgrano Av. y Peru,AVENIDA,1,-58.37471802,-34.61265002,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-12-18,2018,12,18,PEATON,PEATON,MASCULINO,80,2018-12-22 00:00:00
427,2018-0136,1,2018-12-18,15.0,Rivadavia Av. 7013,AVENIDA,7,-58.46438789,-34.62913916,PEATON-PASAJEROS,PEATON,PASAJEROS,2018,2018-12-18,2018,12,18,PEATON,PEATON,FEMENINO,70,2018-12-18 00:00:00
428,2018-0137,1,2018-12-18,20.0,Adolfo Alsina y Santiago del Estero,CALLE,1,-58.38481975,-34.61100424,MOTO-PASAJEROS,MOTO,PASAJEROS,2018,2018-12-18,2018,12,18,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,29,2018-12-19 00:00:00
429,2018-0138,1,2018-12-21,9.0,Bermudez 1893,CALLE,10,-58.50751833,-34.62073702,PASAJEROS-PASAJEROS,PASAJEROS,PASAJEROS,2018,2018-12-21,2018,12,21,PASAJERO_ACOMPAÑANTE,PASAJEROS,FEMENINO,79,2018-12-21 00:00:00
430,2018-0139,1,2018-12-22,6.0,Santander 1974,CALLE,7,-58.44682986,-34.63888084,MOTO-MOTO,MOTO,MOTO,2018,2018-12-22,2018,12,22,PASAJERO_ACOMPAÑANTE,MOTO,MASCULINO,28,2018-12-24 00:00:00
431,2018-0140,1,2018-12-22,8.0,Julieta Lanteri 1400,CALLE,1,-58.36004650,-34.61381341,AUTO-AUTO,AUTO,AUTO,2018,2018-12-22,2018,12,22,CONDUCTOR,AUTO,MASCULINO,78,2018-12-22 00:00:00
432,2018-0141,1,2018-12-22,17.0,Maza y Av. Independencia,AVENIDA,5,-58.41509546,-34.62085945,PEATON-MOTO,PEATON,MOTO,2018,2018-12-22,2018,12,22,PEATON,PEATON,MASCULINO,75,2018-12-24 00:00:00
433,2018-0142,1,2018-12-25,13.0,"PAZ, GRAL. AV. 5172",AVENIDA,12,-58.50997604,-34.57251072,CARGAS-PASAJEROS,CARGAS,PASAJEROS,2018,2018-12-25,2018,12,25,PASAJERO_ACOMPAÑANTE,CARGAS,MASCULINO,32,2019-01-01 00:00:00
434,2018-0143,1,2018-12-29,5.0,"Olivera Av. y Alberdi, Juan Bautista Av.",AVENIDA,10,-58.48606475,-34.64047818,MOTO-AUTO,MOTO,AUTO,2018,2018-12-29,2018,12,29,CONDUCTOR,MOTO,MASCULINO,22,2018-12-29 00:00:00
435,2019-0001,1,2019-01-08,8.0,"CASTILLO, RAMON S., PRES. AV. Y CALLE 12",AVENIDA,2,-58.38526125,-34.57805810,MOTO-CARGAS,MOTO,CARGAS,2019,2019-01-08,2019,1,8,CONDUCTOR,MOTO,MASCULINO,25,2019-01-08 00:00:00
436,2019-0002,1,2019-01-09,4.0,"CASTAÑARES AV. Y MORENO, PERITO AV.",AVENIDA,7,-58.45463662,-34.65082149,AUTO-CARGAS,AUTO,CARGAS,2019,2019-01-09,2019,1,9,CONDUCTOR,AUTO,MASCULINO,32,2019-01-09 00:00:00
437,2019-0003,1,2019-01-12,8.0,SAN MARTIN AV. Y TERRADA,AVENIDA,15,-58.49121672,-34.59718073,MOTO-AUTO,MOTO,AUTO,2019,2019-01-12,2019,1,12,CONDUCTOR,MOTO,MASCULINO,23,2019-01-12 00:00:00
438,2019-0004,1,2019-01-14,19.0,"PERON, EVA AV. Y MEDINA",AVENIDA,9,-58.47325712,-34.65284605,AUTO-PASAJEROS,AUTO,PASAJEROS,2019,2019-01-14,2019,1,14,CONDUCTOR,AUTO,MASCULINO,71,2019-01-14 00:00:00
439,2019-0005,1,2019-01-19,12.0,"JUSTO, JUAN B. AV. Y ALVAREZ JONTE AV.",AVENIDA,10,-58.52108101,-34.63382309,MOTO-CARGAS,MOTO,CARGAS,2019,2019-01-19,2019,1,19,CONDUCTOR,MOTO,MASCULINO,43,2019-01-19 00:00:00
440,2019-0006,1,2019-01-23,5.0,"OBLIGADO RAFAEL, AV. COSTANERA 4650",AVENIDA,14,-58.41652702,-34.55509606,PEATON-AUTO,PEATON,AUTO,2019,2019-01-23,2019,1,23,PEATON,PEATON,FEMENINO,12,2019-01-23 00:00:00
441,2019-0007,1,2019-01-26,19.0,"MITRE, BARTOLOME Y YATAY",CALLE,5,-58.42891604,-34.61071660,MOTO-AUTO,MOTO,AUTO,2019,2019-01-26,2019,1,26,CONDUCTOR,MOTO,MASCULINO,35,2019-01-26 00:00:00
442,2019-0008,1,2019-01-30,22.0,"PAZ, GRAL. AV. 16080",AVENIDA,8,-58.47802293,-34.69156793,MULTIPLE,MOTO,MULTIPLE,2019,2019-01-30,2019,1,30,CONDUCTOR,MOTO,MASCULINO,42,2019-01-31 00:00:00
443,2019-0009,1,2019-01-31,14.0,CHACABUCO Y SAN JUAN AV.,AVENIDA,1,-58.37564821,-34.62200207,MOTO-AUTO,MOTO,AUTO,2019,2019-01-31,2019,1,31,CONDUCTOR,MOTO,MASCULINO,34,2019-01-31 00:00:00
444,2019-0010,2,2019-02-02,7.0,DEL LIBERTADOR AV. 4100,AVENIDA,14,-58.42668489,-34.56961468,PEATON-AUTO,PEATON,AUTO,2019,2019-02-02,2019,2,2,PEATON,PEATON,MASCULINO,SD,2019-02-02 00:00:00
445,2019-0010,2,2019-02-02,7.0,DEL LIBERTADOR AV. 4100,AVENIDA,14,-58.42668489,-34.56961468,PEATON-AUTO,PEATON,AUTO,2019,2019-02-02,2019,2,2,PEATON,PEATON,MASCULINO,59,2019-02-02 00:00:00
446,2019-0011,1,2019-02-10,1.0,"PAZ, GRAL. AV. Y ALBERDI, JUAN BAUTISTA AV.",AVENIDA,9,-58.51839930,-34.66252488,PEATON-AUTO,PEATON,AUTO,2019,2019-02-10,2019,2,10,PEATON,PEATON,MASCULINO,SD,2019-02-10 00:00:00
447,2019-0012,1,2019-02-17,3.0,"CASTAÑARES AV. Y GORDILLO, TIMOTEO",AVENIDA,8,-58.48432691,-34.67665828,MOTO-AUTO,MOTO,AUTO,2019,2019-02-17,2019,2,17,CONDUCTOR,MOTO,MASCULINO,31,2019-02-20 00:00:00
448,2019-0013,1,2019-02-20,7.0,SALVIGNY Y MOM,CALLE,7,-58.43383830,-34.64457699,PEATON-AUTO,PEATON,AUTO,2019,2019-02-20,2019,2,20,PEATON,PEATON,MASCULINO,39,2019-03-02 00:00:00
449,2019-0014,1,2019-02-20,17.0,"LAMARCA, EMILIO 5402",CALLE,11,-58.51664939,-34.58657938,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO,2019,2019-02-20,2019,2,20,CONDUCTOR,MOTO,MASCULINO,69,2019-02-20 00:00:00
450,2019-0015,1,2019-02-23,6.0,SAN MARTIN AV. 5638,AVENIDA,11,-58.49613012,-34.59703502,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO,2019,2019-02-23,2019,2,23,CONDUCTOR,AUTO,MASCULINO,21,2019-02-23 00:00:00
