,Id_hecho,N_VICTIMAS,FECHA_x,HORA,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA_x,ACUSADO,AÑO,FECHA_y,AAAA,MM,DD,ROL,VICTIMA_y,SEXO,EDAD,FECHA_FALLECIMIENTO
279,2017-0154,1,2017-12-11,9.0,AV. ENTRE RIOS Y AV. CASEROS ,AVENIDA,4,-58.39035581,-34.63412287,PEATON-PASAJEROS,PEATON,PASAJEROS,2017,2017-12-11,2017,12,11,PEATON,PEATON,MASCULINO,76,2017-12-11 00:00:00
280,2017-0155,1,2017-12-12,21.0,AV. RIVADAVIA 6350,AVENIDA,7,-58.45593915,-34.62656868,SD-MOTO,SD,MOTO,2017,2017-12-12,2017,12,12,SD,SD,MASCULINO,77,SD
281,2017-0157,1,2017-12-17,9.0,AV. GRAL. PAZ Y HUMAITA,AVENIDA,9,-58.52866211,-34.64597065,AUTO-PASAJEROS,AUTO,PASAJEROS,2017,2017-12-17,2017,12,17,CONDUCTOR,AUTO,MASCULINO,53,2017-12-17 00:00:00
282,2017-0158,1,2017-12-18,21.0,GUALEGUAYCHU Y COLECTORA AV. GRAL PAZ,AVENIDA,11,-58.52037476,-34.59407024,MOTO-AUTO,MOTO,AUTO,2017,2017-12-18,2017,12,18,CONDUCTOR,MOTO,MASCULINO,32,2017-12-18 00:00:00
283,2017-0159,1,2017-12-20,4.0,AV. INDEPENDENCIA Y VIRREY CEVALLOS,AVENIDA,1,-58.38896772,-34.61799615,MOTO-AUTO,MOTO,AUTO,2017,2017-12-20,2017,12,20,CONDUCTOR,MOTO,MASCULINO,27,2017-12-20 00:00:00
284,2017-0160,1,2017-12-22,13.0,AV. NAZCA 365,AVENIDA,7,-58.47074114,-34.62771756,PEATON-MOTO,PEATON,MOTO,2017,2017-12-22,2017,12,22,PEATON,PEATON,FEMENINO,30,2017-12-22 00:00:00
285,2017-0161,1,2017-12-26,15.0,AV. EVA PERON 5249,AVENIDA,9,-58.48200819,-34.65969965,PEATON-AUTO,PEATON,AUTO,2017,2017-12-26,2017,12,26,PEATON,PEATON,FEMENINO,30,2017-12-26 00:00:00
286,2018-0001,1,2018-01-01,22.0,San Juan Av. Y Rincón,AVENIDA,3,-58.39536773,-34.62297346,PEATON-MOTO,PEATON,MOTO,2018,2018-01-01,2018,1,1,PEATON,PEATON,MASCULINO,83,2018-01-02 00:00:00
287,2018-0002,1,2018-01-03,16.0,Peru 937,CALLE,1,-58.37456088,-34.61895467,BICICLETA-PASAJEROS,BICICLETA,PASAJEROS,2018,2018-01-03,2018,1,3,CICLISTA,BICICLETA,FEMENINO,26,2018-01-03 00:00:00
288,2018-0003,1,2018-01-05,10.0,"Pueyrredon, Honorio, Dr. Av. y Galicia",AVENIDA,15,-58.44860217,-34.60395657,MULTIPLE,PEATON,MULTIPLE,2018,2018-01-05,2018,1,5,PEATON,PEATON,FEMENINO,58,2018-01-05 00:00:00
